Your Input	WormBase Gene ID	Public Name	Species	Biotype	Sequence Name	Other Name	Expr_pattern Tissue	Genomic Study Tissue	Gene Ontology Association
WBGene00009624	WBGene00009624	cnc-8	Caenorhabditis elegans	protein_coding_gene	F41E7.8	CELE_F41E7.8	N.A.	ABplapaaap, ABprapaaap, anterior hypodermis, B cell, hyp11, hyp12, hyp2, hyp8, hypodermis, intestine, OLQshDL, rectal epithelial cell, tail hypodermis, vulC, Y cell	N.A.
WBGene00009625	WBGene00009625	F41E7.9	Caenorhabditis elegans	protein_coding_gene	F41E7.9	CELE_F41E7.9	amphid neuron, head neuron, hypodermis, nervous system, phasmid neuron, tail neuron	ADEL, ADER, ADFL, ADFR, AFD, ASEL, ASER, ASGL, ASGR, AWBL, AWBR, CEPDL, CEPDR, CEPVL, CEPVR, dopaminergic neuron, IL1DL, IL1DR, IL1L, IL1R, IL1VL, IL1VR, IL2DL, IL2DR, IL2L, IL2R, IL2VL, IL2VR, MSaapaapa, MSpapaapa, neuron, OLLL, OLLR, PHAL, PHBL, PLM, RMDL, sensory neuron	N.A.
WBGene00009626	WBGene00009626	F42A8.1	Caenorhabditis elegans	protein_coding_gene	F42A8.1	CELE_F42A8.1	head, intestine, vulva	anterior hypodermis, arc ant V, ASEL, ASER, dorsal uterine cell, germ line, gon_male_dtc anterior, gon_male_dtc posterior, hyp1, hyp12, hyp2, hyp4, hyp5, hyp6, hypodermis, OLQshDL, Z1, Z1.p, Z4, Z4.a	N.A.
WBGene00009627	WBGene00009627	cup-15	Caenorhabditis elegans	protein_coding_gene	F42A8.3	CELE_F42A8.3	N.A.	coelomocyte, germ line, germline precursor cell, head mesodermal cell, neuron, oocyte	"cytosol", "lysosome organization", "membrane"
WBGene00009628	WBGene00009628	tatn-1	Caenorhabditis elegans	protein_coding_gene	F42D1.2	CELE_F42D1.2	body wall musculature, hypodermis, intestine, muscle cell, pharynx, reproductive system, vulval muscle	anchor cell, ASJL, ASJR, Caaaaa, Caaaap, Caaapa, Caaapp, Caappd, Cpaaaa, Cpaaap, Cpaapa, Cpaapp, Cpapaa, Cpapap, Cpappd, hyp12, hypodermis, intestine, muscle cell, PLM	"amino acid metabolic process", "aromatic amino acid metabolic process", "biosynthetic process", "dauer entry", "L-phenylalanine catabolic process", "L-tyrosine-2-oxoglutarate transaminase activity", "pyridoxal phosphate binding", "transaminase activity", "transferase activity", "tyrosine catabolic process"
WBGene00009629	WBGene00009629	sprr-2	Caenorhabditis elegans	protein_coding_gene	F42D1.3	mipr-1, CELE_F42D1.3	ASEL, ASER, ASIL, ASIR, AWBL, AWBR, DA8, DA9, head neuron, SDQL, SDQR, tail neuron	AFD, ASER, AVAL, AVAR, AVBL, AVDL, AVE, AVJL, CP neuron, DA neuron, DA9, DD4, DD5, dorsal-rectal ganglion neuron, DVC, excretory gland cell, head mesodermal cell, I6 neuron, neuron, PDA, PLM, PVDL, PVT, RIML, RIPL, RIS, SDQL, sensory neuron, URADL, URAVL, URAVR, URBL, URXL, URXR, uv3, ventral nerve cord	"chemotaxis", "G protein-coupled peptide receptor activity", "G protein-coupled receptor activity", "G protein-coupled receptor signaling pathway", "membrane", "plasma membrane", "signal transduction"
WBGene00009630	WBGene00009630	F42E8.1	Caenorhabditis elegans	protein_coding_gene	F42E8.1	CELE_F42E8.1	N.A.	AUAL, AUAR, AVHL, AVHR, excretory gland cell, neuron	N.A.
WBGene00009631	WBGene00009631	F42E8.2	Caenorhabditis elegans	pseudogene	F42E8.2	CELE_F42E8.2	N.A.	N.A.	N.A.
WBGene00009632	WBGene00009632	ttyh-1	Caenorhabditis elegans	protein_coding_gene	F42E11.2	CELE_F42E11.2	anal depressor muscle, anal sphincter muscle, body wall musculature, dorsal nerve cord, excretory cell, head neuron, intestine, lateral nerve cord, mu_int_L, mu_int_R, nerve ring, nervous system, neuron, pharyngeal-intestinal valve, pharynx, rectal gland cell, reproductive system, tail neuron, uterine muscle, uterus, ventral cord neuron, vulva, vulval muscle	ABarppaapp, ABarpppapp, ABplppppaa, ABprppppaa, ALA, anal sphincter muscle, ASER, AVG, B cell, body wall musculature, CEPshDL, CEPshDR, CEPshVL, CEPshVR, DA1, DA2, DA3, DA4, DA5, DA6, DA7, DA8, DA9, DB1, DB2, DB3, DB4, DB5, DB6, DB7, DD1, DD2, DD3, DD4, DD5, DD6, dorsal nerve cord, G2, GLRDL, GLRDR, GLRL, GLRR, GLRVL, GLRVR, head mesodermal cell, intestinal muscle, intestine, M1 neuron, MC neuron, MCL, MCR, nerve ring, OLL, PVD, Q cell, rectal muscle, RIH, sensory neuron, somatic neuron, tail neuron, ventral nerve cord, vulval muscle, W cell	"chloride channel activity", "chloride channel complex", "chloride transmembrane transport", "chloride transport", "intracellularly calcium-gated chloride channel activity", "membrane", "monoatomic ion transmembrane transport", "monoatomic ion transport", "plasma membrane", "volume-sensitive chloride channel activity"
WBGene00009633	WBGene00009633	F42E11.3	Caenorhabditis elegans	protein_coding_gene	F42E11.3	CELE_F42E11.3	N.A.	ABplapppaa, ABprapppaa, ADL, anal depressor muscle, anal sphincter muscle, body wall muscle cell, Caapa, intestinal muscle, muscle cell, neuron, PHB, sensory neuron	"membrane"
WBGene00009634	WBGene00009634	nspc-9	Caenorhabditis elegans	protein_coding_gene	F42F12.1	CELE_F42F12.1	N.A.	excretory gland cell, germ line, intestine	N.A.
WBGene00009635	WBGene00009635	srdf-2.2	Caenorhabditis elegans	protein_coding_gene	F42F12.3	CELE_F42F12.3	N.A.	AFD, ASER, CEPshDL, CEPshDR, CEPshVL, CEPshVR, coelomocyte, head mesodermal cell, hyp4, hyp5, hyp6, intestine, K cell, K' cell, mc1DL, mc1DR, mc1V, mc3, MSpppaaa, neuron, OLL, pharyngeal muscle cell, PVD, RIVL, SAADL, SAAVL, SMBDL, VB2	"3-oxo-5-alpha-steroid 4-dehydrogenase (NADP+) activity", "3-oxo-5-alpha-steroid 4-dehydrogenase activity", "androgen biosynthetic process", "cell differentiation", "endoplasmic reticulum membrane", "endoplasmic reticulum", "innate immune response", "intracellular membrane-bounded organelle", "lipid metabolic process", "membrane", "oxidoreductase activity", "oxidoreductase activity, acting on the CH-CH group of donors", "steroid biosynthetic process", "steroid metabolic process"
WBGene00009636	WBGene00009636	F42F12.4	Caenorhabditis elegans	protein_coding_gene	F42F12.4	CELE_F42F12.4	N.A.	excretory gland cell, head mesodermal cell, hypodermis, intestine, neuron	"acireductone dioxygenase (Ni2+-requiring) activity", "acireductone dioxygenase [iron(II)-requiring] activity", "amino acid biosynthetic process", "cytoplasm", "dioxygenase activity", "iron ion binding", "L-methionine salvage from methylthioadenosine", "metal ion binding", "methionine biosynthetic process", "methionine metabolic process", "nickel cation binding", "nucleus", "oxidoreductase activity"
WBGene00009637	WBGene00009637	nspc-13	Caenorhabditis elegans	protein_coding_gene	F42F12.6	CELE_F42F12.6	N.A.	excretory gland cell, neuron	N.A.
WBGene00009638	WBGene00009638	nspc-14	Caenorhabditis elegans	protein_coding_gene	F42F12.7	CELE_F42F12.7	N.A.	ASER, excretory gland cell	N.A.
WBGene00009639	WBGene00009639	nspc-15	Caenorhabditis elegans	protein_coding_gene	F42F12.8	CELE_F42F12.8	N.A.	excretory gland cell, neuron	N.A.
WBGene00009640	WBGene00009640	nspc-10	Caenorhabditis elegans	protein_coding_gene	F42F12.9	CELE_F42F12.9	N.A.	excretory gland cell, intestine, neuron	N.A.
WBGene00009641	WBGene00009641	F42G4.2	Caenorhabditis elegans	protein_coding_gene	F42G4.2	CELE_F42G4.2	N.A.	ABplpppaaa, ABprpppaaa, arcade cell, male	N.A.
WBGene00009642	WBGene00009642	F42G4.5	Caenorhabditis elegans	protein_coding_gene	F42G4.5	CELE_F42G4.5	N.A.	AFD, arcade cell, head mesodermal cell, intestine, OLL, PVD, SMDDL, SMDDR, SMDVL, SMDVR	N.A.
WBGene00009643	WBGene00009643	F42G4.6	Caenorhabditis elegans	protein_coding_gene	F42G4.6	CELE_F42G4.6	N.A.	germ line, intestine, male	N.A.
WBGene00009644	WBGene00009644	F42G4.7	Caenorhabditis elegans	protein_coding_gene	F42G4.7	CELE_F42G4.7	N.A.	oocyte	"membrane"
WBGene00009645	WBGene00009645	F42G10.1	Caenorhabditis elegans	protein_coding_gene	F42G10.1	CELE_F42G10.1	N.A.	anal depressor muscle, body wall musculature, DA neuron, head muscle, hypodermis, I5 neuron, M.vrpaapaa, muscle cell, PVS, retrovesicular ganglion, SAB, uv1, VA neuron, vulval muscle	"metalloendopeptidase activity", "metallopeptidase activity", "plasma membrane", "protein processing"
WBGene00009646	WBGene00009646	F42H11.1	Caenorhabditis elegans	protein_coding_gene	F42H11.1	CELE_F42H11.1	N.A.	ABaraapapaa, ABaraapppaa, ABplaapappp, ABpraapappp, ADLL, ADLR, ALM, germ line, PLM	"collagen trimer", "membrane"
WBGene00009647	WBGene00009647	phlp-2	Caenorhabditis elegans	protein_coding_gene	F43C1.1	CELE_F43C1.1	neuron	ABarpaapap, ABarpaappa, ABarpaappp, ABarppaapa, ABarpppapa, ABplaapppa, ABplaapppp, ABplappppa, ABpraapppa, ABpraapppp, ABprappppa, ADE sheath cell, ADE socket cell, ADEshL, ADEshR, amphid sheath cell, amphid socket cell, AMsoL, anterior arcade cell, arc ant V, arcade cell, CEP socket cell, cephalic sheath cell, CEPshDL, CEPshDR, CEPshVL, CEPshVR, CEPsoDL, CEPsoDR, CEPsoVL, CEPsoVR, excretory duct cell, excretory pore, hyp1, hyp10, hyp11, hyp12, hyp2, hyp3, hyp4, hyp5, hyp6, hyp8, IL sheath cell, IL socket cell, ILshDL, ILshDR, ILshL, ILshR, ILshVL, ILshVR, ILsoDL, ILsoDR, ILsoL, ILsoR, ILsoVL, ILsoVR, K' cell, OL sheath cell, OL socket cell, OLLshL, OLLshR, OLLsoL, OLQshDL, OLQshDR, OLQshVL, OLQshVR, OLQsoDL, OLQsoVL, oocyte, PDE sheath cell, PDE socket cell, PDEshL, PDEsoL, phasmid sheath cell, phasmid socket cell, PHshL, PHso1L, posterior arcade cell, rectal epithelial cell, seam cell, ut4, vulA, vulB1, vulC, vulD	"hydrolase activity", "intracellular signal transduction", "metal ion binding", "phosphoprotein phosphatase activity", "protein serine/threonine phosphatase activity"
WBGene00009648	WBGene00009648	zhit-2	Caenorhabditis elegans	protein_coding_gene	F43C1.3	CELE_F43C1.3	N.A.	AFD, germ line, intestine, Q cell, somatic gonad precursor	N.A.
WBGene00009649	WBGene00009649	F43C1.5	Caenorhabditis elegans	protein_coding_gene	F43C1.5	CELE_F43C1.5	N.A.	ABplppppaa, ABprppppaa, dorsal uterine cell, hyp1, hyp2, pharyngeal-intestinal valve, rectal gland cell, spermathecal-uterine junction, uv2, uv3, vulA, vulB1, vulC, vulD, vulE, vulF	"ubiquitin binding"
WBGene00009650	WBGene00009650	ccnk-1	Caenorhabditis elegans	protein_coding_gene	F43D2.1	CELE_F43D2.1	N.A.	DA neuron, germ line, I5 neuron, intestine, Q cell, retrovesicular ganglion, SAB, VA neuron	"cyclin-dependent protein serine/threonine kinase activator activity", "cyclin-dependent protein serine/threonine kinase regulator activity", "cyclin/CDK positive transcription elongation factor complex", "nematode larval development", "nucleus", "positive regulation of DNA-templated transcription, elongation", "positive regulation of transcription by RNA polymerase II", "regulation of transcription by RNA polymerase II"
WBGene00009651	WBGene00009651	F43D2.2	Caenorhabditis elegans	pseudogene	F43D2.2	CELE_F43D2.2	N.A.	germ line, GLR, hermaphrodite-specific anatomical entity	N.A.
WBGene00009652	WBGene00009652	F43D2.3	Caenorhabditis elegans	protein_coding_gene	F43D2.3	CELE_F43D2.3	N.A.	germ line, K cell, K' cell, neuron, RIBL	"RNA-directed DNA polymerase activity", "RNA-templated DNA biosynthetic process"
WBGene00009653	WBGene00009653	ptr-25	Caenorhabditis elegans	protein_coding_gene	F43D9.1	F43D9.1, CELE_F43D9.1	head neuron, inner labial neuron, interneuron, muscle cell, outer labial neuron	ABarpaapap, ABarpaappa, ABarpaappp, ABarpapaapp, ABarppaapa, ABarpppapa, ABplaaaaapp, ABplaapppa, ABplaapppp, ABplappppa, ABpraapppa, ABpraapppp, ABprappppa, AIAL, ALA, Caaaaa, Caaaap, Caaapa, Caaapp, Caappd, Cpaaaa, Cpaaap, Cpaapa, Cpaapp, Cpapaa, Cpapap, Cpappd, gon_male_dtc anterior, gon_male_dtc posterior, hyp4, hyp5, hyp6, hypodermis, I5 neuron, IL2DL, IL2DR, IL2L, IL2VL, sensory neuron, tail hypodermis, ventral cord blast cell, Z1.p, Z4.a	"centrosome", "cytoplasmic vesicle membrane", "endocytosis", "membrane", "molting cycle, collagen and cuticulin-based cuticle", "plasma membrane"
WBGene00009654	WBGene00009654	sly-1	Caenorhabditis elegans	protein_coding_gene	F43D9.3	phi-26, CELE_F43D9.3	N.A.	AVK, germ line	"endoplasmic reticulum to Golgi vesicle-mediated transport", "Golgi membrane", "intracellular protein transport", "retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum", "syntaxin binding", "vesicle-mediated transport"
WBGene00009656	WBGene00009656	F43G6.3	Caenorhabditis elegans	pseudogene	F43G6.3	CELE_F43G6.3	N.A.	germ line	N.A.
WBGene00009657	WBGene00009657	F43G6.4	Caenorhabditis elegans	protein_coding_gene	F43G6.4	CELE_F43G6.4	N.A.	ABplpapppa, ABplppppaa, ABplppppap, ABprppppaa, ABprppppap, AIZL, AIZR, anal sphincter muscle, anchor cell, anterior arcade cell, anterior distal tip cell, anterior hypodermis, AVBL, AVBR, B cell, body wall muscle cell, body wall musculature, DA1, DA2, DA3, DA4, DA5, DA6, DA7, DA8, DA9, DB3, DB4, DB5, DB6, DB7, DD1, DD2, DD3, DD4, DD5, DD6, dorsal uterine cell, DVC, F cell, g2L, g2R, germ line, gonadal sheath cell, hyp11, hyp12, hyp2, hyp8, hypodermis, ILshDL, intestinal muscle, K cell, K' cell, M cell, muscle cell, OLQshDL, PVPL, PVPR, PVR, PVT, rect_D, rectal epithelial cell, rectal muscle, sensory neuron, SIBDL, SIBDR, SIBVL, SIBVR, somatic gonad precursor, spermatheca, spermathecal-uterine junction, tail hypodermis, U cell, ut1, ut2, ut3, uterine seam cell, uv1, uv2, uv3, VA10, VA2, VA3, VA4, VB1, VB10, VB11, VB2, VB3, VB4, VB5, VB6, VB7, VB8, VB9, vulA, vulB1, vulC, vulD, vulE, vulF, Y cell, Z1, Z4	N.A.
WBGene00009658	WBGene00009658	pap-3	Caenorhabditis elegans	protein_coding_gene	F43G6.5	CELE_F43G6.5	N.A.	AVHL, AVHR, XXXL, XXXR	"ATP binding", "metal ion binding", "mRNA processing", "nucleotide binding", "nucleotidyltransferase activity", "nucleus", "poly(A) RNA polymerase activity", "RNA 3'-end processing", "RNA binding", "transferase activity"
WBGene00009659	WBGene00009659	F43G6.7	Caenorhabditis elegans	protein_coding_gene	F43G6.7	CELE_F43G6.7	N.A.	germ line, NSM, pharyngeal muscle cell	N.A.
WBGene00009660	WBGene00009660	F43G6.8	Caenorhabditis elegans	protein_coding_gene	F43G6.8	CELE_F43G6.8	N.A.	ADEshL, ADEshR, AFD, anchor cell, AWC-OFF, excretory gland cell, head mesodermal cell, neuron, PLM, pm1, pm2, RIF, sensory neuron, VB1, ventral nerve cord	"metal ion binding", "zinc ion binding"
WBGene00009661	WBGene00009661	patr-1	Caenorhabditis elegans	protein_coding_gene	F43G6.9	CELE_F43G6.9	N.A.	AVK, germ line, oocyte, Q cell	"cytoplasm", "deadenylation-dependent decapping of nuclear-transcribed mRNA", "determination of adult lifespan", "P-body assembly", "P-body", "RNA binding"
WBGene00009662	WBGene00009662	F43G6.10	Caenorhabditis elegans	protein_coding_gene	F43G6.10	CELE_F43G6.10	N.A.	AFD, germ line, oocyte, PLML, PLMR	N.A.
WBGene00009663	WBGene00009663	hda-5	Caenorhabditis elegans	protein_coding_gene	F43G6.11	CELE_F43G6.11	N.A.	ADFL, ADFR, ALA, AWBL, AWBR, DA neuron, dopaminergic neuron, excretory canal, excretory cell, I5 neuron, intestine, neuron, PHshL, retrovesicular ganglion, SAB, somatic gonad precursor, VA neuron	"epigenetic regulation of gene expression", "histone deacetylase activity", "histone deacetylase complex"
WBGene00009664	WBGene00009664	idha-1	Caenorhabditis elegans	protein_coding_gene	F43G9.1	CELE_F43G9.1	body wall musculature, head, hypodermis, intestine, mu_int_L, mu_int_R, nervous system, pharynx, reproductive system, seam cell, tail, vulva, vulval muscle	AFD, ASER, body wall musculature, dorsal nerve cord, germ line, intestine, lateral nerve cord, muscle cell, nerve ring, pharynx, somatic neuron, tail neuron, ventral nerve cord, vulval muscle	"isocitrate dehydrogenase (NAD+) activity", "isocitrate metabolic process", "metal ion binding", "mitochondrion", "oxidoreductase activity", "protein folding", "tricarboxylic acid cycle"
WBGene00009665	WBGene00009665	lmd-1	Caenorhabditis elegans	protein_coding_gene	F43G9.2	CELE_F43G9.2	N.A.	coelomocyte, germ line, neuron, oocyte, Q cell, somatic gonad precursor	"membrane"
WBGene00009666	WBGene00009666	slc-25A42	Caenorhabditis elegans	protein_coding_gene	F43G9.3	CELE_F43G9.3	body wall musculature, head, intestine, pharynx	coelomocyte, germ line, intestine, PLM	"membrane", "transmembrane transport"
WBGene00009667	WBGene00009667	F43G9.4	Caenorhabditis elegans	protein_coding_gene	F43G9.4	CELE_F43G9.4	N.A.	body wall muscle cell, coelomocyte, germ line, muscle cell, Q cell	N.A.
WBGene00009668	WBGene00009668	cfim-1	Caenorhabditis elegans	protein_coding_gene	F43G9.5	CELE_F43G9.5	body wall musculature, hypodermis, intestine, pharynx	anchor cell, ASGL, ASGR, AWAL, AWAR, B cell, body wall musculature, dorsal nerve cord, F cell, germ line, K cell, K' cell, lateral nerve cord, nerve ring, pharynx, PLM, Q cell, rect_D, rect_VL, rect_VR, somatic gonad precursor, somatic neuron, tail neuron, U cell, ventral nerve cord, vulval muscle, Y cell	"cytoplasm", "identical protein binding", "mRNA 3'-end processing", "mRNA 3'-UTR AU-rich region binding", "mRNA binding", "mRNA cleavage factor complex", "mRNA processing", "nucleus", "RNA binding"
WBGene00009669	WBGene00009669	F43G9.7	Caenorhabditis elegans	transposable_element_gene	F43G9.7	N.A.	N.A.	N.A.	N.A.
WBGene00009670	WBGene00009670	F43G9.8	Caenorhabditis elegans	protein_coding_gene	F43G9.8	CELE_F43G9.8	N.A.	germ line, male	"membrane"
WBGene00009671	WBGene00009671	mfap-1	Caenorhabditis elegans	protein_coding_gene	F43G9.10	CELE_F43G9.10	body wall musculature, intestine, pharynx, vulval muscle	ABplaapapa, ABplpaappa, ABpraapapa, ABprpaappa, AFD, AVA, GABAergic neuron, germ line, MSpaaaaa, neuron, oocyte, Q cell	"mRNA processing", "mRNA splicing, via spliceosome", "nucleus", "regulation of alternative mRNA splicing, via spliceosome", "RNA splicing", "spliceosomal complex", "U2-type spliceosomal complex"
WBGene00009672	WBGene00009672	mog-7	Caenorhabditis elegans	protein_coding_gene	F43G9.12	CELE_F43G9.12	germ cell, germline precursor cell, oocyte, somatic cell, sperm	AVA, body wall muscle cell, germ line, germline precursor cell, intestine, MSpaaaaa, neuron, Q cell	"DNA binding", "mRNA splicing, via spliceosome", "nucleus", "spliceosomal complex disassembly", "U2-type post-mRNA release spliceosomal complex"
WBGene00009673	WBGene00009673	F43G9.13	Caenorhabditis elegans	protein_coding_gene	F43G9.13	CELE_F43G9.13	N.A.	ALML, ALMR, AVM, BDUL, BDUR, body wall muscle cell, excretory cell, GABAergic neuron, germ line, hypodermis, muscle cell, oocyte, PHCL, PVM, RIPL, sensory neuron	"membrane"
WBGene00009674	WBGene00009674	nucb-1	Caenorhabditis elegans	protein_coding_gene	F44A6.1	CELE_F44A6.1	body wall musculature, head neuron, intestinal cell, pharyngeal muscle cell, tail neuron, vulval muscle	AVK, body wall musculature, coelomocyte, dorsal nerve cord, GABAergic neuron, head mesodermal cell, nerve ring, neuron, somatic neuron, tail neuron, ventral nerve cord, vulval muscle	"calcium ion binding", "cytoplasm", "endomembrane system", "endoplasmic reticulum-Golgi intermediate compartment"
WBGene00009675	WBGene00009675	F44A6.3	Caenorhabditis elegans	protein_coding_gene	F44A6.3	CELE_F44A6.3	N.A.	ASER, CANL, DD1, gon_male_dtc anterior, gon_male_dtc posterior, head mesodermal cell, hermaphrodite-specific anatomical entity, intestine, tail precursor cell, Z1.p, Z4.a	N.A.
WBGene00009676	WBGene00009676	F44A6.4	Caenorhabditis elegans	protein_coding_gene	F44A6.4	CELE_F44A6.4	N.A.	AFD, BAG, hypodermis, intestine, LUAL, neuron, PLM, RID, RIH	N.A.
WBGene00009677	WBGene00009677	F44A6.5	Caenorhabditis elegans	protein_coding_gene	F44A6.5	CELE_F44A6.5	N.A.	ASER, germline precursor cell, intestine, PLM, tail precursor cell	N.A.
WBGene00009678	WBGene00009678	magu-4	Caenorhabditis elegans	protein_coding_gene	F44D12.1	CELE_F44D12.1	hypodermis, neuron, pharynx, spermatheca, vulC, vulD	AFD, AMsoL, AMsoR, anterior hypodermis, arc ant V, CEPsoDL, CEPsoDR, CEPsoVL, CEPsoVR, dorsal uterine cell, excretory secretory system, germ line, GLR, hyp1, hyp2, hyp3, hyp4, hyp5, hyp6, hypodermis, ILsoDL, ILsoDR, ILsoL, ILsoR, ILsoVL, ILsoVR, OLL, OLQshDL, PLM, PVD, sensory neuron, ventral cord blast cell	"negative regulation of hippo signaling", "protein binding"
WBGene00009679	WBGene00009679	F44D12.2	Caenorhabditis elegans	protein_coding_gene	F44D12.2	CELE_F44D12.2	N.A.	AMshL, excretory canal, excretory cell, excretory gland cell, GABAergic neuron, germ line, GLR, hyp2, hypodermis, intestine, neuron, PHshL	"membrane"
WBGene00009680	WBGene00009680	msd-1	Caenorhabditis elegans	protein_coding_gene	F44D12.3	CELE_F44D12.3	N.A.	germ line, sperm	"cell body", "pseudopodium"
WBGene00009681	WBGene00009681	gipc-2	Caenorhabditis elegans	protein_coding_gene	F44D12.4	CELE_F44D12.4	head neuron, intestine, nervous system, spermatid, tail neuron	ABplpapppa, amphid sheath cell, B cell, F cell, germ line, K cell, K' cell, male, male-specific anatomical entity, MC neuron, MCL, MCR, NSM, NSML, pharyngeal neuron, sperm, U cell, Y cell	N.A.
WBGene00009682	WBGene00009682	msd-2	Caenorhabditis elegans	protein_coding_gene	F44D12.5	CELE_F44D12.5	N.A.	amphid sheath cell, male, sperm	"cell body", "pseudopodium"
WBGene00009683	WBGene00009683	F44D12.6	Caenorhabditis elegans	protein_coding_gene	F44D12.6	CELE_F44D12.6	N.A.	CEPshDL, CEPshDR, CEPshVL, CEPshVR, CEPsoDL, CEPsoVL, germ line, ILshDL, ILshDR, ILshL, ILshR, ILshVL, ILshVR, K cell, K' cell, male, OLLshL, OLLshR, OLQshDL, OLQshDR, OLQshVL, OLQshVR, XXXL, XXXR	"membrane"
WBGene00009684	WBGene00009684	msd-3	Caenorhabditis elegans	protein_coding_gene	F44D12.7	CELE_F44D12.7	N.A.	germ line, male-specific anatomical entity	"cell body", "pseudopodium"
WBGene00009685	WBGene00009685	F44D12.8	Caenorhabditis elegans	protein_coding_gene	F44D12.8	CELE_F44D12.8	N.A.	germ line, male	N.A.
WBGene00009686	WBGene00009686	ent-7	Caenorhabditis elegans	protein_coding_gene	F44D12.9	ent-4, CELE_F44D12.9	N.A.	AMshL, BAGL, BAGR, excretory canal, excretory cell, excretory gland cell, germ line, gonadal sheath cell, hyp2, OLLL, OLLR, OLQDL, OLQDR, OLQVL, OLQVR	"membrane", "nucleoside transmembrane transport", "nucleoside transmembrane transporter activity", "nucleoside transport", "plasma membrane", "transmembrane transporter activity"
WBGene00009687	WBGene00009687	F44D12.10	Caenorhabditis elegans	protein_coding_gene	F44D12.10	CELE_F44D12.10	N.A.	anterior distal tip cell	"zinc ion binding"
WBGene00009688	WBGene00009688	F44E5.1	Caenorhabditis elegans	protein_coding_gene	F44E5.1	CELE_F44E5.1	N.A.	anchor cell, DA neuron, germ line, I5 neuron, muscle cell, neuron, NSM, retrovesicular ganglion, RIA, SAB, VA neuron	N.A.
WBGene00009689	WBGene00009689	F44E5.2	Caenorhabditis elegans	protein_coding_gene	F44E5.2	CELE_F44E5.2	N.A.	anal sphincter muscle, intestinal muscle, rectal muscle	"Cul2-RING ubiquitin ligase complex"
WBGene00009690	WBGene00009690	F44E5.3	Caenorhabditis elegans	pseudogene	F44E5.3	CELE_F44E5.3	N.A.	AFD, AVK, body wall muscle cell, Cappppv, Cpppppv, intestinal muscle, MSapaaap, MSapapap, MSapappp, MSappapp, MSppaaap, MSppapap, MSppappp, MSpppapp, NSM, rectal muscle	N.A.
WBGene00009691	WBGene00009691	F44E5.4	Caenorhabditis elegans	protein_coding_gene	F44E5.4	hsp70cA2, CELE_F44E5.4	N.A.	ABalapapap, ABalapppap, ABalpppappp, ABalppppapa, ABalpppppp, ABalppppppp, ABplaapappp, ABplpaaapp, ABpraaaappp, ABpraaapapa, ABpraaappp, ABpraaapppp, ABpraapappp, ABprpaaapp, ADA, ADFL, ADFR, AFD, AIB, ASER, ASGL, ASGR, AUA, AVA, AVB, AVD, AVE, AVF, AVG, AVH, AVJ, AVL, AWAL, AWAR, AWBL, AWBR, BDU, CEPDL, CEPDR, CEPshDL, CEPshDR, CEPshVL, CEPshVR, CEPVL, CEPVR, DA1, DD neuron, DVC, I6 neuron, intestine, MC neuron, MCL, MCR, MI neuron, OLL, PDB, PHB, PHC, PLM, PVC, PVD, PVP, Q cell, RIA, RIC, RIF, RIM, RIS, RIV, RMDDL, RMDDR, RMDL, RMDR, RMDVL, RMDVR, RMF, RMH, sensory neuron, SIB, SMB, SMD, URA, URY, VA1, VA2, VC1, VC2, VC3, VC4, VC5, VC6	"ATP binding", "ATP hydrolysis activity", "ATP-dependent protein folding chaperone", "chaperone cofactor-dependent protein refolding", "cytoplasm", "cytosol", "heat shock protein binding", "nucleotide binding", "nucleus", "plasma membrane", "protein folding chaperone", "protein refolding", "response to stress"
WBGene00009692	WBGene00009692	F44E5.5	Caenorhabditis elegans	protein_coding_gene	F44E5.5	hsp70cA3, CELE_F44E5.5	N.A.	ABalapapap, ABalapppap, ABalpppapa, ABalpppppp, ABaraapapaa, ABaraapppaa, ABplaapappp, ABplpaaaap, ABplpaaapp, ABpraaaapa, ABpraaappp, ABpraapappp, ABprpaaaap, ABprpaaapp, ADA, ADF, ADFL, ADFR, ADL, AFD, AIB, AS11, ASE, ASER, ASG, ASGL, ASGR, ASH, ASI, ASJ, ASK, AUA, AUAL, AUAR, AVA, AVB, AVD, AVE, AVF, AVG, AVH, AVJ, AVL, AWA, AWAL, AWAR, AWB, AWBL, AWBR, AWC, B cell, BDU, CEPshDL, CEPshDR, CEPshVL, CEPshVR, DA1, DVC, F cell, GLR, I6 neuron, K cell, K' cell, MC neuron, MCL, MCR, MI neuron, OLL, PDB, PHB, PHC, PLM, PVC, PVD, PVP, Q cell, rect_D, rect_VL, rect_VR, RIA, RIC, RIF, RIM, RIR, RIS, RIV, RMDDL, RMDDR, RMDL, RMDR, RMDVL, RMDVR, RMF, RMH, sensory neuron, SIB, SMB, SMD, U cell, URA, URY, VA1, VA2, VB2, VC1, VC2, VC3, VC4, VC5, VC6, Y cell	"ATP binding", "ATP-dependent protein folding chaperone"
WBGene00009693	WBGene00009693	F44F1.1	Caenorhabditis elegans	pseudogene	F44F1.1	CELE_F44F1.1	N.A.	male	N.A.
WBGene00009695	WBGene00009695	clp-8	Caenorhabditis elegans	protein_coding_gene	F44F1.3	CELE_F44F1.3	N.A.	anchor cell, germ line	"calcium-dependent cysteine-type endopeptidase activity", "cysteine-type peptidase activity", "cytoplasm", "hydrolase activity", "peptidase activity", "proteolysis"
