Your Input	WormBase Gene ID	Public Name	Species	Biotype	Sequence Name	Other Name	Expr_pattern Tissue	Genomic Study Tissue	Gene Ontology Association
WBGene00007945	WBGene00007945	C34F6.11	Caenorhabditis elegans	protein_coding_gene	C34F6.11	CELE_C34F6.11	N.A.	AIBL, AINL, anterior distal tip cell, AUAL, head mesodermal cell, I5 neuron, intestine, OLL, PVD, PVQ, PVQL, PVR, rectal valve cell, RID, RMGL, virL	"membrane"
WBGene00007946	WBGene00007946	ugt-33	Caenorhabditis elegans	protein_coding_gene	C35A5.2	CELE_C35A5.2	N.A.	ASER, intestine	"glucuronosyltransferase activity", "glycosyltransferase activity", "membrane", "transferase activity", "UDP-glycosyltransferase activity"
WBGene00007947	WBGene00007947	C35A5.3	Caenorhabditis elegans	protein_coding_gene	C35A5.3	CELE_C35A5.3	N.A.	AFD, cephalic sheath cell, coelomocyte, dopaminergic neuron, germline precursor cell, hypodermis	"membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00007948	WBGene00007948	C35A5.4	Caenorhabditis elegans	protein_coding_gene	C35A5.4	CELE_C35A5.4	N.A.	germ line, male	"cytoskeleton"
WBGene00007949	WBGene00007949	C35A5.5	Caenorhabditis elegans	protein_coding_gene	C35A5.5	CELE_C35A5.5	N.A.	seam cell	"glycosyltransferase activity", "membrane", "transferase activity"
WBGene00007950	WBGene00007950	C35A5.6	Caenorhabditis elegans	protein_coding_gene	C35A5.6	CELE_C35A5.6	N.A.	AFD, anal depressor muscle, body wall muscle cell, body wall musculature, dopaminergic neuron, head muscle, hermaphrodite distal tip cell, hermaphrodite-specific anatomical entity, hypodermis, M.vrpaapaa, M.vrpaapap, male distal tip cell, muscle cell, PLM, uterine muscle	"extracellular region"
WBGene00007951	WBGene00007951	dmsr-8	Caenorhabditis elegans	protein_coding_gene	C35A5.7	CELE_C35A5.7	N.A.	ABplapaaaap, ABprapaaaap, AIAL, AIAR, AIBL, AIBR, AIYL, AIYR, AS neuron, AS1, AVJL, BDUL, CP neuron, DA neuron, DA9, DB1, DVA, intestine, neuron, NSM, PDA, PDB, PVWL, RIBL, RIBR, RICL, RICR, RID, RIGL, RIML, sensory neuron, SIBDL, SIBDR, SIBVL, SIBVR, SMDDL, SMDDR, SMDVL, SMDVR, VA12, VB2, ventral nerve cord	"G protein-coupled peptide receptor activity", "G protein-coupled receptor activity", "G protein-coupled receptor signaling pathway", "membrane", "plasma membrane"
WBGene00007952	WBGene00007952	xpo-7	Caenorhabditis elegans	protein_coding_gene	C35A5.8	CELE_C35A5.8	Cell	body wall muscle cell, germ line, Q cell	"cytoplasm", "nuclear export signal receptor activity", "nuclear pore", "nuclear transport", "nucleus", "protein export from nucleus", "protein transport"
WBGene00007953	WBGene00007953	hda-11	Caenorhabditis elegans	protein_coding_gene	C35A5.9	hdac-11, CELE_C35A5.9	N.A.	anchor cell, AVE, AVK, body wall muscle cell, DA neuron, DB1, DB2, DB3, DB4, DB5, DB6, DB7, DVC, I5 neuron, neuron, Q cell, retrovesicular ganglion, RIH, RMED, SAB, sensory neuron, SMBDL, SMBDR, SMBVL, SMBVR, somatic gonad precursor, VA neuron	"epigenetic regulation of gene expression", "histone deacetylase activity", "histone deacetylase complex", "protein lysine deacetylase activity"
WBGene00007954	WBGene00007954	gcp-2.2	Caenorhabditis elegans	protein_coding_gene	C35C5.2	CELE_C35C5.2	N.A.	amphid sheath cell, anterior arcade cell, CEPshDL, CEPshDR, CEPshVL, CEPshVR, CEPsoDL, CEPsoVL, ILshDL, male, neuron, OLQshDL, PHAL, phasmid sheath cell, PHBL, rectal valve cell, virL	"carboxypeptidase activity", "membrane"
