name,wormbase_id
srh-171,WBGene00005387
srh-172,WBGene00005388
srh-173,WBGene00005389
srh-174,WBGene00005390
srh-175,WBGene00005391
srh-177,WBGene00005392
srh-178,WBGene00005393
srh-179,WBGene00005394
srh-180,WBGene00005395
srh-181,WBGene00005396
srh-182,WBGene00005397
srh-183,WBGene00005398
srh-184,WBGene00005399
srh-185,WBGene00005400
srh-186,WBGene00005401
srh-187,WBGene00005402
srh-189,WBGene00005403
srh-190,WBGene00005404
srh-192,WBGene00005405
srh-193,WBGene00005406
srh-194,WBGene00005407
srh-195,WBGene00005408
srh-198,WBGene00005409
srh-199,WBGene00005410
srh-200,WBGene00005411
srh-201,WBGene00005412
srh-202,WBGene00005413
srh-203,WBGene00005414
srh-204,WBGene00005415
srh-206,WBGene00005416
srh-207,WBGene00005417
srh-208,WBGene00005418
srh-209,WBGene00005419
srh-210,WBGene00005420
srh-211,WBGene00005421
srh-212,WBGene00005422
srh-213,WBGene00005423
srh-214,WBGene00005424
srh-215,WBGene00005425
srh-216,WBGene00005426
srh-217,WBGene00005427
srh-218,WBGene00005428
srh-219,WBGene00005429
srh-220,WBGene00005430
srh-221,WBGene00005431
srh-222,WBGene00005432
srh-223,WBGene00005433
srh-224,WBGene00005434
srh-227,WBGene00005435
srh-228,WBGene00005436
srh-229,WBGene00005437
srh-230,WBGene00005438
srh-231,WBGene00005439
srh-233,WBGene00005440
srh-234,WBGene00005441
srh-235,WBGene00005442
srh-236,WBGene00005443
srh-237,WBGene00005444
srh-238,WBGene00005445
srh-239,WBGene00005446
srh-240,WBGene00005447
srh-241,WBGene00005448
srh-243,WBGene00005449
srh-244,WBGene00005450
srh-245,WBGene00005451
srh-246,WBGene00005452
srh-247,WBGene00005453
srh-248,WBGene00005454
srh-249,WBGene00005455
srh-250,WBGene00005456
srh-251,WBGene00005457
srh-252,WBGene00005458
srh-253,WBGene00005459
srh-254,WBGene00005460
srh-255,WBGene00005461
srh-256,WBGene00005462
srh-257,WBGene00005463
srh-258,WBGene00005464
srh-259,WBGene00005465
srh-260,WBGene00005466
srh-261,WBGene00005467
srh-262,WBGene00005468
srh-263,WBGene00005469
srh-264,WBGene00005470
srh-265,WBGene00005471
srh-266,WBGene00005472
srh-267,WBGene00005473
srh-268,WBGene00005474
srh-269,WBGene00005475
srh-270,WBGene00005476
srh-271,WBGene00005477
srh-272,WBGene00005478
srh-274,WBGene00005479
srh-275,WBGene00005480
srh-276,WBGene00005481
srh-277,WBGene00005482
srh-278,WBGene00005483
srh-279,WBGene00005484
srh-280,WBGene00005485
srh-281,WBGene00005486
srh-282,WBGene00005487
srh-283,WBGene00005488
srh-284,WBGene00005489
srh-286,WBGene00005490
